"HITId","CreationTime","Expiration","NumberOfSimilarHITs","WorkerId","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","WorkTimeInSeconds","Input.query","Input.docA","Input.docB","Input.time","Answer.comment","Answer.bground","Answer.radio"
1,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",84,1,"Wed Apr 14 20:00:52 GMT 2010","Wed Apr 14 20:01:15 GMT 2010","Wed Apr 21 20:01:15 GMT 2010","Thu Apr 15 02:55:02 PDT 2010",23,"600.053.475-1.1.1","456.001.555-1.1.1","600.053.475-1.1.1",13,"","no","b"
1,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",84,2,"Wed Apr 14 20:56:29 GMT 2010","Wed Apr 14 20:57:05 GMT 2010","Wed Apr 21 20:57:05 GMT 2010","Thu Apr 15 02:46:41 PDT 2010",36,"600.053.475-1.1.1","456.001.555-1.1.1","600.053.475-1.1.1",13,"","","b"
1,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",84,3,"Wed Apr 14 19:26:13 GMT 2010","Wed Apr 14 19:26:54 GMT 2010","Wed Apr 21 19:26:54 GMT 2010","Thu Apr 15 02:54:15 PDT 2010",41,"600.053.475-1.1.1","456.001.555-1.1.1","600.053.475-1.1.1",13,"","","b"
1,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",84,4,"Wed Apr 14 23:06:21 GMT 2010","Wed Apr 14 23:06:35 GMT 2010","Wed Apr 21 23:06:35 GMT 2010","Thu Apr 15 02:51:29 PDT 2010",14,"600.053.475-1.1.1","456.001.555-1.1.1","600.053.475-1.1.1",13,"","","b"
1,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",84,5,"Wed Apr 14 19:41:25 GMT 2010","Wed Apr 14 19:41:54 GMT 2010","Wed Apr 21 19:41:54 GMT 2010","Thu Apr 15 02:51:40 PDT 2010",29,"600.053.475-1.1.1","456.001.555-1.1.1","600.053.475-1.1.1",13,"","","b"
1,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",84,6,"Thu Apr 15 01:13:17 GMT 2010","Thu Apr 15 01:13:48 GMT 2010","Thu Apr 22 01:13:48 GMT 2010","Thu Apr 15 02:49:25 PDT 2010",31,"600.053.475-1.1.1","456.001.555-1.1.1","600.053.475-1.1.1",13,"","","s"
1,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",84,7,"Wed Apr 14 20:41:52 GMT 2010","Wed Apr 14 20:42:05 GMT 2010","Wed Apr 21 20:42:05 GMT 2010","Thu Apr 15 02:47:31 PDT 2010",13,"600.053.475-1.1.1","456.001.555-1.1.1","600.053.475-1.1.1",13,"","","b"
1,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",84,8,"Wed Apr 14 23:58:33 GMT 2010","Wed Apr 14 23:58:55 GMT 2010","Wed Apr 21 23:58:55 GMT 2010","Thu Apr 15 02:55:57 PDT 2010",22,"600.053.475-1.1.1","456.001.555-1.1.1","600.053.475-1.1.1",13,"no","no","b"
1,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",84,9,"Wed Apr 14 20:26:29 GMT 2010","Wed Apr 14 20:26:51 GMT 2010","Wed Apr 21 20:26:51 GMT 2010","Thu Apr 15 02:48:46 PDT 2010",22,"600.053.475-1.1.1","456.001.555-1.1.1","600.053.475-1.1.1",13,"","","b"
1,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",84,10,"Thu Apr 15 03:51:27 GMT 2010","Thu Apr 15 03:51:48 GMT 2010","Thu Apr 22 03:51:48 GMT 2010","Thu Apr 15 02:59:20 PDT 2010",21,"600.053.475-1.1.1","456.001.555-1.1.1","600.053.475-1.1.1",13,"","","b"
2,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",85,8,"Thu Apr 15 00:03:13 GMT 2010","Thu Apr 15 00:03:45 GMT 2010","Thu Apr 22 00:03:45 GMT 2010","Thu Apr 15 02:55:58 PDT 2010",32,"702.001.406-1.1.1","850.002.851-1.1.1","850.020.654-1.1.1",12,"no","no","b"
2,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",85,11,"Thu Apr 15 03:55:29 GMT 2010","Thu Apr 15 03:55:50 GMT 2010","Thu Apr 22 03:55:50 GMT 2010","Thu Apr 15 02:57:17 PDT 2010",21,"702.001.406-1.1.1","850.002.851-1.1.1","850.020.654-1.1.1",12,"","","a"
2,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",85,1,"Wed Apr 14 20:09:34 GMT 2010","Wed Apr 14 20:09:57 GMT 2010","Wed Apr 21 20:09:57 GMT 2010","Thu Apr 15 02:55:02 PDT 2010",23,"702.001.406-1.1.1","850.002.851-1.1.1","850.020.654-1.1.1",12,"","no","b"
2,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",85,7,"Wed Apr 14 20:38:14 GMT 2010","Wed Apr 14 20:38:27 GMT 2010","Wed Apr 21 20:38:27 GMT 2010","Thu Apr 15 02:47:39 PDT 2010",13,"702.001.406-1.1.1","850.002.851-1.1.1","850.020.654-1.1.1",12,"","","b"
2,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",85,9,"Wed Apr 14 19:04:50 GMT 2010","Wed Apr 14 19:05:17 GMT 2010","Wed Apr 21 19:05:17 GMT 2010","Thu Apr 15 02:48:58 PDT 2010",27,"702.001.406-1.1.1","850.002.851-1.1.1","850.020.654-1.1.1",12,"","","b"
2,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",85,12,"Thu Apr 15 01:15:17 GMT 2010","Thu Apr 15 01:15:44 GMT 2010","Thu Apr 22 01:15:44 GMT 2010","Thu Apr 15 02:47:35 PDT 2010",27,"702.001.406-1.1.1","850.002.851-1.1.1","850.020.654-1.1.1",12,"I love these tunes... :)","","s"
2,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",85,4,"Wed Apr 14 23:15:30 GMT 2010","Wed Apr 14 23:15:47 GMT 2010","Wed Apr 21 23:15:47 GMT 2010","Thu Apr 15 02:51:36 PDT 2010",17,"702.001.406-1.1.1","850.002.851-1.1.1","850.020.654-1.1.1",12,"","","a"
2,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",85,3,"Wed Apr 14 19:23:59 GMT 2010","Wed Apr 14 19:24:23 GMT 2010","Wed Apr 21 19:24:23 GMT 2010","Thu Apr 15 02:54:13 PDT 2010",24,"702.001.406-1.1.1","850.002.851-1.1.1","850.020.654-1.1.1",12,"","","s"
2,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",85,13,"Wed Apr 14 19:20:34 GMT 2010","Wed Apr 14 19:20:57 GMT 2010","Wed Apr 21 19:20:57 GMT 2010","Thu Apr 15 02:54:19 PDT 2010",23,"702.001.406-1.1.1","850.002.851-1.1.1","850.020.654-1.1.1",12,"","","a"
2,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",85,5,"Wed Apr 14 19:42:00 GMT 2010","Wed Apr 14 19:43:28 GMT 2010","Wed Apr 21 19:43:28 GMT 2010","Thu Apr 15 02:51:24 PDT 2010",88,"702.001.406-1.1.1","850.002.851-1.1.1","850.020.654-1.1.1",12,"","","s"
3,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",92,14,"Wed Apr 14 20:21:12 GMT 2010","Wed Apr 14 20:21:29 GMT 2010","Wed Apr 21 20:21:29 GMT 2010","Thu Apr 15 02:46:43 PDT 2010",17,"700.010.591-1.4.2","700.010.591-1.4.2","701.001.219-1.1.1",16,"","","a"
3,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",92,15,"Wed Apr 14 20:33:50 GMT 2010","Wed Apr 14 20:34:36 GMT 2010","Wed Apr 21 20:34:36 GMT 2010","Thu Apr 15 02:46:53 PDT 2010",46,"700.010.591-1.4.2","700.010.591-1.4.2","701.001.219-1.1.1",16,"","","a"
3,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",92,16,"Wed Apr 14 22:22:17 GMT 2010","Wed Apr 14 22:22:38 GMT 2010","Wed Apr 21 22:22:38 GMT 2010","Thu Apr 15 02:57:18 PDT 2010",21,"700.010.591-1.4.2","700.010.591-1.4.2","701.001.219-1.1.1",16,"","","a"
3,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",92,9,"Wed Apr 14 20:25:47 GMT 2010","Wed Apr 14 20:26:29 GMT 2010","Wed Apr 21 20:26:29 GMT 2010","Thu Apr 15 02:48:42 PDT 2010",42,"700.010.591-1.4.2","700.010.591-1.4.2","701.001.219-1.1.1",16,"","","s"
3,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",92,7,"Wed Apr 14 20:27:48 GMT 2010","Wed Apr 14 20:28:12 GMT 2010","Wed Apr 21 20:28:12 GMT 2010","Thu Apr 15 02:47:20 PDT 2010",24,"700.010.591-1.4.2","700.010.591-1.4.2","701.001.219-1.1.1",16,"","","a"
3,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",92,6,"Thu Apr 15 01:09:59 GMT 2010","Thu Apr 15 01:10:26 GMT 2010","Thu Apr 22 01:10:26 GMT 2010","Thu Apr 15 02:49:31 PDT 2010",27,"700.010.591-1.4.2","700.010.591-1.4.2","701.001.219-1.1.1",16,"","","a"
3,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",92,17,"Thu Apr 15 02:06:07 GMT 2010","Thu Apr 15 02:29:08 GMT 2010","Thu Apr 22 02:29:08 GMT 2010","Thu Apr 15 02:58:21 PDT 2010",1381,"700.010.591-1.4.2","700.010.591-1.4.2","701.001.219-1.1.1",16,"","","a"
3,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",92,4,"Wed Apr 14 22:21:10 GMT 2010","Wed Apr 14 22:21:23 GMT 2010","Wed Apr 21 22:21:23 GMT 2010","Thu Apr 15 02:51:40 PDT 2010",13,"700.010.591-1.4.2","700.010.591-1.4.2","701.001.219-1.1.1",16,"","","a"
3,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",92,1,"Wed Apr 14 20:53:27 GMT 2010","Wed Apr 14 20:53:51 GMT 2010","Wed Apr 21 20:53:51 GMT 2010","Thu Apr 15 02:55:05 PDT 2010",24,"700.010.591-1.4.2","700.010.591-1.4.2","701.001.219-1.1.1",16,"","no","a"
3,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",92,8,"Wed Apr 14 23:44:18 GMT 2010","Wed Apr 14 23:44:57 GMT 2010","Wed Apr 21 23:44:57 GMT 2010","Thu Apr 15 02:56:12 PDT 2010",39,"700.010.591-1.4.2","700.010.591-1.4.2","701.001.219-1.1.1",16,"no","no","a"
4,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",82,7,"Wed Apr 14 20:41:17 GMT 2010","Wed Apr 14 20:41:27 GMT 2010","Wed Apr 21 20:41:27 GMT 2010","Thu Apr 15 02:47:28 PDT 2010",10,"600.054.278-1.1.1","600.055.822-1.1.1","850.508.099-1.1.1",21,"","","a"
4,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",82,8,"Wed Apr 14 23:51:32 GMT 2010","Wed Apr 14 23:52:09 GMT 2010","Wed Apr 21 23:52:09 GMT 2010","Thu Apr 15 02:56:08 PDT 2010",37,"600.054.278-1.1.1","600.055.822-1.1.1","850.508.099-1.1.1",21,"no","no","a"
4,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",82,15,"Wed Apr 14 20:54:05 GMT 2010","Wed Apr 14 20:54:31 GMT 2010","Wed Apr 21 20:54:31 GMT 2010","Thu Apr 15 02:46:48 PDT 2010",26,"600.054.278-1.1.1","600.055.822-1.1.1","850.508.099-1.1.1",21,"","","a"
4,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",82,13,"Wed Apr 14 19:19:13 GMT 2010","Wed Apr 14 19:19:25 GMT 2010","Wed Apr 21 19:19:25 GMT 2010","Thu Apr 15 02:54:25 PDT 2010",12,"600.054.278-1.1.1","600.055.822-1.1.1","850.508.099-1.1.1",21,"","","a"
4,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",82,1,"Wed Apr 14 20:35:22 GMT 2010","Wed Apr 14 20:35:48 GMT 2010","Wed Apr 21 20:35:48 GMT 2010","Thu Apr 15 02:55:11 PDT 2010",26,"600.054.278-1.1.1","600.055.822-1.1.1","850.508.099-1.1.1",21,"","no","a"
4,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",82,4,"Wed Apr 14 23:14:18 GMT 2010","Wed Apr 14 23:14:34 GMT 2010","Wed Apr 21 23:14:34 GMT 2010","Thu Apr 15 02:51:26 PDT 2010",16,"600.054.278-1.1.1","600.055.822-1.1.1","850.508.099-1.1.1",21,"","","a"
4,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",82,10,"Thu Apr 15 03:34:46 GMT 2010","Thu Apr 15 03:35:19 GMT 2010","Thu Apr 22 03:35:19 GMT 2010","Thu Apr 15 02:59:13 PDT 2010",33,"600.054.278-1.1.1","600.055.822-1.1.1","850.508.099-1.1.1",21,"","","a"
4,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",82,6,"Thu Apr 15 02:34:26 GMT 2010","Thu Apr 15 02:35:00 GMT 2010","Thu Apr 22 02:35:00 GMT 2010","Thu Apr 15 02:49:26 PDT 2010",34,"600.054.278-1.1.1","600.055.822-1.1.1","850.508.099-1.1.1",21,"","","a"
4,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",82,9,"Wed Apr 14 19:26:31 GMT 2010","Wed Apr 14 19:27:01 GMT 2010","Wed Apr 21 19:27:01 GMT 2010","Thu Apr 15 02:48:58 PDT 2010",30,"600.054.278-1.1.1","600.055.822-1.1.1","850.508.099-1.1.1",21,"","","s"
4,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",82,17,"Thu Apr 15 03:42:57 GMT 2010","Thu Apr 15 03:58:46 GMT 2010","Thu Apr 22 03:58:46 GMT 2010","Thu Apr 15 02:58:28 PDT 2010",949,"600.054.278-1.1.1","600.055.822-1.1.1","850.508.099-1.1.1",21,"","","a"
5,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",35,4,"Wed Apr 14 23:14:14 GMT 2010","Wed Apr 14 23:14:30 GMT 2010","Wed Apr 21 23:14:30 GMT 2010","Thu Apr 15 02:51:41 PDT 2010",16,"700.010.591-1.4.2","700.010.591-1.4.2","190.025.736-1.1.1",12,"","","b"
5,"Wed Apr 14 18:29:32 GMT 2010","Sat Apr 17 18:29:32 GMT 2010",35,9,"Wed Apr 14 19:27:20 GMT 2010","Wed Apr 14 19:27:59 GMT 2010","Wed Apr 21 19:27:59 GMT 2010","Thu Apr 15 02:48:44 PDT 2010",39,"700.010.591-1.4.2","700.010.591-1.4.2","190.025.736-1.1.1",12,"","","a"
